eco	name	pgn	uci	epd
D10	Slav Defense	1. d4 d5 2. c4 c6 3. Nc3 dxc4	d2d4 d7d5 c2c4 c7c6 b1c3 d5c4	rnbqkbnr/pp2pppp/2p5/8/2pP4/2N5/PP2PPPP/R1BQKBNR w KQkq -
D20	Queen's Gambit Accepted	1. d4 d5 2. c4 dxc4	d2d4 d7d5 c2c4 d5c4	rnbqkbnr/ppp1pppp/8/8/2pP4/8/PP2PPPP/RNBQKBNR w KQkq -
D23	Queen's Gambit Accepted	1. d4 d5 2. c4 dxc4 3. Nf3 Nf6	d2d4 d7d5 c2c4 d5c4 g1f3 g8f6	rnbqkb1r/ppp1pppp/5n2/8/2pP4/5N2/PP2PPPP/RNBQKB1R w KQkq -
D24	Queen's Gambit Accepted	1. d4 d5 2. c4 e6 3. Nf3 Nf6 4. Nc3 dxc4 5. e4	d2d4 d7d5 c2c4 e7e6 g1f3 g8f6 b1c3 d5c4 e2e4	rnbqkb1r/ppp2ppp/4pn2/8/2pPP3/2N2N2/PP3PPP/R1BQKB1R b KQkq -
D30	Queen's Gambit Declined	1. d4 d5 2. c4 e6	d2d4 d7d5 c2c4 e7e6	rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -
D32	Tarrasch Defense	1. d4 d5 2. c4 e6 3. Nc3 c5	d2d4 d7d5 c2c4 e7e6 b1c3 c7c5	rnbqkbnr/pp3ppp/4p3/2pp4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq -
D43	Semi-Slav Defense	1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 e6	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 e7e6	rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -
D44	Semi-Slav Defense Accepted	1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 e6 5. Bg5 dxc4	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 e7e6 c1g5 d5c4	rnbqkb1r/pp3ppp/2p1pn2/6B1/2pP4/2N2N2/PP2PPPP/R2QKB1R w KQkq -
D52	Queen's Gambit Declined	1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 e6 5. Bg5 Nbd7 6. e3	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 e7e6 c1g5 b8d7 e2e3	r1bqkb1r/pp1n1ppp/2p1pn2/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R b KQkq -
D53	Queen's Gambit Declined	1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5 Be7	d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 f8e7	rnbqk2r/ppp1bppp/4pn2/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq -
D80	Grünfeld Defense	1. d4 Nf6 2. c4 g6 3. Nc3 d5	d2d4 g8f6 c2c4 g7g6 b1c3 d7d5	rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq -
E00	Catalan Opening	1. d4 Nf6 2. c4 e6 3. g3	d2d4 g8f6 c2c4 e7e6 g2g3	rnbqkb1r/pppp1ppp/4pn2/8/2PP4/6P1/PP2PP1P/RNBQKBNR b KQkq -
E00	Catalan Opening	1. d4 Nf6 2. c4 e6 3. g3 d5	d2d4 g8f6 c2c4 e7e6 g2g3 d7d5	rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/6P1/PP2PP1P/RNBQKBNR w KQkq -
E00	Indian Defense	1. d4 Nf6 2. c4 e6 3. Qb3	d2d4 g8f6 c2c4 e7e6 d1b3	rnbqkb1r/pppp1ppp/4pn2/8/2PP4/1Q6/PP2PPPP/RNB1KBNR b KQkq -
E10	Blumenfeld Countergambit	1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 b5	d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 b7b5	rnbqkb1r/p2p1ppp/4pn2/1ppP4/2P5/5N2/PP2PPPP/RNBQKB1R w KQkq -
E10	Blumenfeld Countergambit Accepted	1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 b5 5. dxe6 fxe6 6. cxb5 d5	d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 b7b5 d5e6 f7e6 c4b5 d7d5	rnbqkb1r/p5pp/4pn2/1Ppp4/8/5N2/PP2PPPP/RNBQKB1R w KQkq -
E11	Bogo-Indian Defense	1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+	d2d4 g8f6 c2c4 e7e6 g1f3 f8b4	rnbqk2r/pppp1ppp/4pn2/8/1bPP4/5N2/PP2PPPP/RNBQKB1R w KQkq -
E12	Queen's Indian Defense	1. d4 Nf6 2. c4 e6 3. Nf3 b6	d2d4 g8f6 c2c4 e7e6 g1f3 b7b6	rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq -
E20	Nimzo-Indian Defense	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4	d2d4 g8f6 c2c4 e7e6 b1c3 f8b4	rnbqk2r/pppp1ppp/4pn2/8/1bPP4/2N5/PP2PPPP/R1BQKBNR w KQkq -
E50	Nimzo-Indian Defense	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Nf3	d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1f3	rnbq1rk1/pppp1ppp/4pn2/8/1bPP4/2N1PN2/PP3PPP/R1BQKB1R b KQ -
E60	Queen's Pawn, Mengarini Attack	1. d4 Nf6 2. c4 g6 3. Qc2	d2d4 g8f6 c2c4 g7g6 d1c2	rnbqkb1r/pppppp1p/5np1/8/2PP4/8/PPQ1PPPP/RNB1KBNR b KQkq -
E61	King's Indian Defense	1. d4 Nf6 2. c4 g6 3. Nc3	d2d4 g8f6 c2c4 g7g6 b1c3	rnbqkb1r/pppppp1p/5np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq -
